#::#!!I,TimeStamp::TimeStamp!!D,Markers::Markers,R3_DensMeanChannel0::R3_Fluo-4,R3_DensMeanChannel1::R3_F0,R3_Ratio::R3_Ratio values,R3_DensMeanChannel0BGCorr::R3_Fluo-4(-BG),R3_DensMeanChannel1BGCorr::R3_F0(-BG),R3_RatioBGCorr::R3_Ratio values (- BG),R2_DensMeanChannel0::R2_Fluo-4,R2_DensMeanChannel1::R2_F0,R2_Ratio::R2_Ratio values,R2_DensMeanChannel0BGCorr::R2_Fluo-4(-BG),R2_DensMeanChannel1BGCorr::R2_F0(-BG),R2_RatioBGCorr::R2_Ratio values (- BG),R1_DensMeanChannel0::R1_Fluo-4,R1_DensMeanChannel1::R1_F0,R1_Ratio::R1_Ratio values,R1_DensMeanChannel0BGCorr::R1_Fluo-4(-BG),R1_DensMeanChannel1BGCorr::R1_F0(-BG),R1_RatioBGCorr::R1_Ratio values (- BG)
,,,,,,,,,,,,,,,,,,,,
0,,,3055.569336,3090.330811,0.988751531,920.9846191,951.2999878,0.968132675,2700.732422,2732.387207,0.988414943,566.1477661,593.3565674,0.954144299,2416.377441,2351.641602,1.027527928,281.7927551,212.610733,1.325392842
1,,,3007.753906,3090.330811,0.97327894,863.6307983,951.2999878,0.907842696,2677.859131,2732.387207,0.980043769,533.736084,593.3565674,0.89951998,2328.302002,2351.641602,0.990075171,184.1788025,212.610733,0.86627239
2,,,3207.630859,3090.330811,1.037957072,1069.353882,951.2999878,1.124097347,2818.647949,2732.387207,1.031569719,680.3709717,593.3565674,1.146647811,2310.26416,2351.641602,0.982404888,171.9872284,212.610733,0.808930099
3,,,3505.207764,3090.330811,1.134250045,1362.930786,951.2999878,1.432703376,3005.859131,2732.387207,1.100085258,863.5822144,593.3565674,1.455418706,2303.622559,2351.641602,0.9795807,161.3457184,212.610733,0.758878469
4,,,3536.492188,3090.330811,1.144373417,1398.092285,951.2999878,1.469665051,3071.155029,2732.387207,1.12398231,932.7549438,593.3565674,1.571997404,2300.075439,2351.641602,0.978072345,161.6754761,212.610733,0.760429442
5,,,3542.81543,3090.330811,1.146419525,1399.923096,951.2999878,1.471589446,3113.971924,2732.387207,1.139652371,971.0795288,593.3565674,1.636586785,2296.60376,2351.641602,0.976596057,153.7114716,212.610733,0.72297132
6,,,3524.430664,3090.330811,1.140470386,1378.830811,951.2999878,1.449417353,3134.309814,2732.387207,1.147095799,988.7098389,593.3565674,1.666299701,2293.962158,2351.641602,0.975472748,148.3622589,212.610733,0.697811723
7,,,3470.423096,3090.330811,1.122994065,1327.038452,951.2999878,1.394973636,3118.309814,2732.387207,1.141240001,974.9252319,593.3565674,1.643068075,2296.754639,2351.641602,0.976660192,153.3701019,212.610733,0.72136575
8,,,3364.284668,3090.330811,1.088648677,1225.453857,951.2999878,1.288188577,3047.661865,2732.387207,1.11538434,908.8311768,593.3565674,1.531678081,2372.754639,2351.641602,1.008978128,233.9239502,212.610733,1.100245237
9,,,3250.953857,3090.330811,1.051975965,1112.615356,951.2999878,1.169573665,2957.52124,2732.387207,1.0823946,819.1826782,593.3565674,1.380590916,2438.26416,2351.641602,1.036834955,299.9256897,212.610733,1.410679817
